"Step","ancient-yogurt-6 - mean meta-episode return","ancient-yogurt-6 - mean meta-episode return__MIN","ancient-yogurt-6 - mean meta-episode return__MAX"
"221","-0.572","-0.572","-0.572"
"222","-0.566","-0.566","-0.566"
"223","-0.574","-0.574","-0.574"
"224","-0.579","-0.579","-0.579"
"225","-0.568","-0.568","-0.568"
"226","-0.572","-0.572","-0.572"
"227","-0.574","-0.574","-0.574"
"228","-0.554","-0.554","-0.554"
"229","-0.537","-0.537","-0.537"
"230","-0.536","-0.536","-0.536"
"231","-0.543","-0.543","-0.543"
"232","-0.53","-0.53","-0.53"
"233","-0.534","-0.534","-0.534"
"234","-0.537","-0.537","-0.537"
"235","-0.517","-0.517","-0.517"
"236","-0.53","-0.53","-0.53"
"237","-0.516","-0.516","-0.516"
"238","-0.507","-0.507","-0.507"
"239","-0.509","-0.509","-0.509"
"240","-0.494","-0.494","-0.494"
"241","-0.516","-0.516","-0.516"
"242","-0.516","-0.516","-0.516"
"243","-0.543","-0.543","-0.543"
"244","-0.553","-0.553","-0.553"
"245","-0.549","-0.549","-0.549"
"246","-0.557","-0.557","-0.557"
"247","-0.557","-0.557","-0.557"
"248","-0.556","-0.556","-0.556"
"249","-0.569","-0.569","-0.569"
"250","-0.577","-0.577","-0.577"
"251","-0.58","-0.58","-0.58"
"252","-0.592","-0.592","-0.592"
"253","-0.586","-0.586","-0.586"
"254","-0.598","-0.598","-0.598"
"255","-0.594","-0.594","-0.594"
"256","-0.572","-0.572","-0.572"
"257","-0.562","-0.562","-0.562"
"258","-0.553","-0.553","-0.553"
"259","-0.568","-0.568","-0.568"
"260","-0.561","-0.561","-0.561"
"261","-0.559","-0.559","-0.559"
"262","-0.566","-0.566","-0.566"
"263","-0.566","-0.566","-0.566"
"264","-0.565","-0.565","-0.565"
"265","-0.564","-0.564","-0.564"
"266","-0.536","-0.536","-0.536"
"267","-0.55","-0.55","-0.55"
"268","-0.544","-0.544","-0.544"
"269","-0.542","-0.542","-0.542"
"270","-0.556","-0.556","-0.556"
"271","-0.565","-0.565","-0.565"
"272","-0.573","-0.573","-0.573"
"273","-0.57","-0.57","-0.57"
"274","-0.565","-0.565","-0.565"
"275","-0.572","-0.572","-0.572"
"276","-0.562","-0.562","-0.562"
"277","-0.561","-0.561","-0.561"
"278","-0.577","-0.577","-0.577"
"279","-0.578","-0.578","-0.578"
"280","-0.569","-0.569","-0.569"
"281","-0.572","-0.572","-0.572"
"282","-0.562","-0.562","-0.562"
"283","-0.542","-0.542","-0.542"
"284","-0.533","-0.533","-0.533"
"285","-0.533","-0.533","-0.533"
"286","-0.524","-0.524","-0.524"
"287","-0.517","-0.517","-0.517"
"288","-0.542","-0.542","-0.542"
"289","-0.529","-0.529","-0.529"
"290","-0.513","-0.513","-0.513"
"291","-0.513","-0.513","-0.513"
"292","-0.517","-0.517","-0.517"
"293","-0.504","-0.504","-0.504"
"294","-0.522","-0.522","-0.522"
"295","-0.518","-0.518","-0.518"
"296","-0.521","-0.521","-0.521"
"297","-0.512","-0.512","-0.512"
"298","-0.51","-0.51","-0.51"
"299","-0.517","-0.517","-0.517"
"300","-0.493","-0.493","-0.493"
"301","-0.476","-0.476","-0.476"
"302","-0.494","-0.494","-0.494"
"303","-0.508","-0.508","-0.508"
"304","-0.497","-0.497","-0.497"
"305","-0.501","-0.501","-0.501"
"306","-0.508","-0.508","-0.508"
"307","-0.511","-0.511","-0.511"
"308","-0.512","-0.512","-0.512"
"309","-0.506","-0.506","-0.506"
"310","-0.511","-0.511","-0.511"
"311","-0.525","-0.525","-0.525"
"312","-0.522","-0.522","-0.522"
"313","-0.527","-0.527","-0.527"
"314","-0.525","-0.525","-0.525"
"315","-0.527","-0.527","-0.527"
"316","-0.526","-0.526","-0.526"
"317","-0.524","-0.524","-0.524"
"318","-0.527","-0.527","-0.527"
